Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Magnusson,Robert:EE-5389-001-TOPICS IN OPTICS"	Mean	4.2857	4.2857	4.2857	4.7143	4.4286	4.2857
	N	7	7	7	7	7	7
"Mahapatra,Radha:INSY-3304-001-DATABASE MANAGEMENT SYSTEMS"	Mean	4.0213	4.087	4.1667	4.2917	4.1064	4.0217
	N	47	46	48	48	47	46
"Mahapatra,Radha:INSY-5337-001-ADVANCED DATA MANAGEMENT"	Mean	4.4286	4.5	4.6429	4.6923	4.7143	4.7143
	N	14	14	14	13	14	14
"Maher,Dennis:THEA-2352-002-ACTING II: SCENE STUDY"	Mean	4.7857	4.7143	4.7857	4.9286	4.9286	4.7143
	N	14	14	14	14	14	14
"Maher,Dennis:THEA-4301-001-ACTING V: PERIOD STYLES"	Mean	4.1111	4.1111	4.7778	4.3333	4.6667	4.5556
	N	9	9	9	9	9	9
"Maher,Dennis:THEA-4304-001-MODERN THEATRE HISTORY"	Mean	4.381	4.3333	4.5	4.5	4.619	4.5
	N	21	21	22	22	21	22
"Main,Derek:GEOL-3402-001-DINOSAURS"	Mean	4.1579	4.5263	4.6316	4.4737	4.4737	4.6842
	N	19	19	19	19	19	19
"Maizlish,Stephen:HIST-3325-001-CIVIL WAR&REC"	Mean	4.5227	4.3864	4.5	4.6818	4.6591	4.4773
	N	44	44	44	44	44	44
"Maizlish,Stephen:HIST-5321-001-SEMINAR 19TH CENTURY US HIST"	Mean	4.5714	4.2143	4.6923	4.5714	4.7857	4.5714
