Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
	N	1	1	1	1	1	1
"Romero-Ortega,Mario:BE-5309-013-Human Physiology in BE"	Mean	3.5	4	4.5	3.5	3.5	4
	N	2	2	2	2	2	2
"Roner,Michael:BIOL-3311-001-SPEC TOPICS MICROBIOLOGY"	Mean	4	4.5	4	5	4.5	4.5
	N	2	2	2	2	2	2
"Roner,Michael:BIOL-3312-001-IMMUNOBIOLOGY"	Mean	4.6	4.6	4.6	4.8	4.6	4.6
	N	5	5	5	5	5	5
"Roy,Debanjana:BIOL-3444-002-GENERAL MICROBIOLOGY"	Mean	4	3.5	3.25	4	3.5	4
	N	4	4	4	4	4	4
"Roye,Jennifer:NURS-4431-600-NURS CHILDREN & ADOLESCENTS"	Mean	4.7813	4.7813	4.75	4.8125	4.9032	4.8437
	N	32	32	32	32	31	32
"Ruiz,Erika:SOCW-3302-002-HUM BEHAV II"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Ruiz,Erika:SOCW-3317-002-DIVERSE POPULATIONS"	Mean	4.7143	4.5714	4.7143	4.7143	4.5714	4.5714
	N	7	7	7	7	7	7
"Rusher,Thomas:ARCH-4329-001 & ARCH-5329-001-TOPICS IN COMPUTERS AND DESIGN (2135-ISS-0004)"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Russell,Howard:EE-2415-001-CIRCUIT ANALYSIS I"	Mean	4.6667	4	4	4.6667	5	4.5
	N	3	3	3	3	3	2
"Russell,Howard:EE-2415-101-CIRCUIT ANALYSIS I"	Mean	4.3333	4.3333	4.6667	4	4.6667	4.3333
	N	3	3	3	3	3	3
"Ryan,Josephine:ANTH-2322-001-GLOBAL CULTURE"	Mean	4.5	4	4.5	4.5	4.5	5
	N	2	2	2	2	2	2
"Ryan,Josephine:ANTH-3338-001 & WOMS-3338-001-COMPARATIVE KINSHIP/FAMILY SYS"	Mean	4.5	4.25	5	4.25	4.75	4.75
	N	4	4	4	4	4	4
"Sabherwal,Sanjiv:FINA-3315-001-INVESTMENTS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Sabherwal,Sanjiv:FINA-4324-001-INTERNATIONAL CORP FINANCE"	Mean	4.8	5	4.8	4.8	5	5
	N	5	5	5	5	5	5
"Salem,Heidi:NURS-5302-400-CURRICULUM DEVELOPMENT"	Mean	4.625	4.5	4.625	4.5	4.625	4.375
	N	8	8	8	8	8	8
"Salinas,Cristina:MAS-2300-001-INTRO MEX AM ST"	Mean	3.3333	4.3333	4.3333	4.3333	3.6667	4
	N	3	3	3	3	3	3
"Salmon,Stacy:COMS-1301-001-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.5	4.5	4.5	4.5	4.5	4
	N	2	2	2	2	2	2
"Sarkar,Salil:FINA-4315-001-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	4.625	4.5	4.625	4.75	4.5	4.875
	N	8	8	8	8	8	8
"Sarkar,Salil:FINA-5311-020-BUSINESS FINANCIAL MANAGEMENT"	Mean	4.5556	3.8889	4.5556	4.5556	4.3333	4.2222
	N	9	9	9	9	9	9
"Sarker,Pranab:PHYS-1443-002-GENERAL TECHNICAL PHYSICS I"	Mean	4.6667	4.3333	4.6667	4.6667	4.5	4.3333
	N	3	3	3	3	2	3
"Sasley,Brent:POLS-2311-001-GOVT OF U S"	Mean	4.6667	3.3333	4.3333	5	4	3
	N	3	3	3	3	3	3
"Sato,Satoko:PHYS-1442-002-GENERAL COLLEGE PHYSICS II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Satyal,Suman:PHYS-1441-004-GENERAL COLLEGE PHYSICS I"	Mean	4.5714	4.7143	4.5714	4.7143	4.3333	4.8333
	N	7	7	7	7	6	6
"Saxe,Allan:POLS-2311-001-GOVT OF U S"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Saxe,Allan:POLS-2311-002-GOVT OF U S"	Mean	4.6667	5	5	5	5	5
	N	3	3	3	3	2	3
"Saxe,Allan:POLS-2312-002-STATE & LOCAL GOVT"	Mean	4.5714	4.7143	4.8571	4.8571	4.3333	5
	N	7	7	7	7	6	7
"Saxe,Allan:POLS-3313-001-MODERN CRITICS"	Mean	4.75	4.75	4.5	4.75	4.75	4.75
	N	4	4	4	4	4	4
"Saxe,Allan:POLS-3331-001-ISSUE CIVIL LIB"	Mean	4.4615	4.5385	4.6154	4.6154	4.6154	4.6154
	N	13	13	13	13	13	13
"Saxon,Gerald:HIST-3363-001 & MAS-3363-001-TEXAS TO 1850 (2135-5W2-0008)"	Mean	4.4444	4.4444	4.4444	4.6667	4.4444	4.5556
	N	9	9	9	9	9	9
"Schargel,Walter:BIOL-1433-001-INTRODUCTION TO BIOLOGY I"	Mean	5	5	5	4.5	5	5
	N	2	2	2	2	2	2
"Schield,Drew:BIOL-1442-002-STRUC & FUNC OF ORGANISMS"	Mean	4.6667	4.8333	4.8333	4.8333	5	5
	N	6	6	6	6	5	6
"Schoening,David:FINA-5315-050-HEALTH CARE FINANCIAL MANAGEME"	Mean	4	3.75	4	4.25	4.25	3.75
	N	4	4	4	4	4	4
"Schug,Kevin:SCIE-3302-001-PHYSICAL SCIENCE - CHEMISTRY & SCIE-5307-001-IPC CHEM"	Mean	4.6667	4.6667	4.5	5	4.5	4.6667
	N	3	3	4	3	4	3
"Schwemer,Lee:BLAW-3312-001-LAW II"	Mean	4.6	4.2	4.2	4.8	4.2	4.6
	N	5	5	5	5	5	5
"Schwemer,Lee:BLAW-3314-001-REAL ESTATE LAW & REAE-5337-001-REAL PROPERTY LAW (2135-11W-0011)"	Mean	4.4444	4.4444	4.4444	4.4444	4.125	4.5
	N	9	9	9	9	8	8
"Schwemer,Lee:BLAW-5330-001-LEGAL ENVIRON OF BUSINESS"	Mean	4.25	4.5	4.75	4.75	4.25	4.5
	N	4	4	4	4	4	4
"Scott,Karen:INSY-2303-002-INTRO TO MIS/DATA PROCESSING"	Mean	3.3333	1	2	3	4	2.3333
	N	3	2	3	3	3	3
"Seal,Lawton:CHEM-2181-002-ORGANIC CHEMISTRY I LAB"	Mean	4.75	5	5	5	5	5
	N	4	4	4	4	3	4
"Sears,Kenneth:INSY-3303-001-COMP NTWKS & DIST COMPUTING"	Mean	3	2.5	2.75	3.75	3.25	2.25
	N	4	4	4	4	4	4
"Semingson,Peggy:LIST-4373-001-EC-6 LIT LRNG: RDG & WRTG"	Mean	4.8	4.8	5	4.8	5	4.8
	N	5	5	5	5	5	5
"Semingson,Peggy:LIST-5346-005-TEACHING THE WRITING PROCESS"	Mean	4.661	4.5424	4.7458	4.8103	4.9153	4.7414
	N	59	59	59	58	59	58
"Semingson,Peggy:LIST-5373-001-FNDNS OF LITERACY LRNG IN EC-6"	Mean	4.3333	4.3333	4.3333	4.3333	4.3333	4.3333
	N	6	6	6	6	6	6
"Serviere,Laura:MARK-3322-001-PERSONAL SELLING & SALES MGMT"	Mean	3.8333	4.3333	4.6667	4.6667	4.5	4
	N	6	6	6	6	6	6
"Shaffer,Bethany:ENGL-2329-001-AMERICAN LITERATURE"	Mean	4.75	5	5	4.75	5	4.75
	N	4	4	4	4	4	4
"Shaney,Kyle:BIOL-1442-003-STRUC & FUNC OF ORGANISMS"	Mean	3.75	4	4	3.75	4.25	4
	N	4	4	4	4	4	4
"Sharma Poudyal,Basanti:MATH-1426-201-CALCULUS I"	Mean	4	5	4.3333	4.6667	5	5
	N	3	3	3	3	3	3
"Sharma,Bonita:SOCW-5303-004-FOUND OF SCIAL PLCY & SERVICES"	Mean	4	3	3.3333	3	3	3.3333
	N	3	3	3	3	3	3
"Shastry,Karthik:PHYS-1442-003-GENERAL COLLEGE PHYSICS II"	Mean	3.8571	4.2857	4.2857	4.5714	4.5	4.2857
	N	7	7	7	7	6	7
"Shelton,Beth:SOCI-3356-001 & WOMS-3356-001-WOMEN, WORK & SOCIAL CHANGE (2135-5W1-0009)"	Mean	5	5	5	5	5	5
	N	6	6	6	6	6	5
"Shiakolas,Panayiotis:MAE-3183-001-MEASUREMENTS LABORATORY II"	Mean	3.5	3	3.5	4.5	3.5	3
	N	2	2	2	2	2	2
"Shiakolas,Panayiotis:MAE-4310-001-INTRO TO AUTOMATIC CONTROL"	Mean	4.5556	4.1111	4.4444	4.6667	4.5556	3.8889
	N	9	9	9	9	9	9
"Sikora,Riyaz:INSY-3300-001 & INSY-5309-001-OBJ ORI BUS PROG (2135-11W-0041)"	Mean	4.5882	4.5294	4.4118	4.6471	4.5882	4.5882
	N	17	17	17	17	17	17
"Sikora,Riyaz:INSY-3305-001 & INSY-5341-001-INFO SYS ANALYSIS & DESIGN (2135-11W-0042)"	Mean	4.2	4	4.2	4.8	3.8	4
	N	5	5	5	5	5	5
"Smallwood,Aaron:ECON-4322-001-INTERNATIONAL FINANCE"	Mean	2	1	1	4	4	2
	N	1	1	1	1	1	1
"Smallwood,Aaron:ECON-5327-001-INTRNTL FIN & OPEN ECO MACROEC"	Mean	4.1667	4.3333	4.1667	4.1667	4	4.1667
	N	6	6	6	6	6	6
"Smant,Kevin:HIST-1311-001-HISTORY OF U.S."	Mean	4.6	4.4	3.8	4.4	4	4.2
	N	5	5	5	5	5	5
"Smart,Utpal:BIOL-2458-007-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Smith-Osborne,Alexa:SOCW-6350-001-COGNITIVE-BEHAVIORAL INTERVENT"	Mean	3.25	4	4.25	4.5	4.5	3.25
	N	4	4	4	4	4	4
"Smith,David:MATH-2326-001-CALCULUS III"	Mean	4.6667	3	4.3333	4.6667	3.6667	3.3333
	N	3	3	3	3	3	3
"Smith,David:MATH-3300-001-INTRODUCTION TO PROOFS"	Mean	4	4	5	4.6667	5	4.3333
	N	3	3	3	3	3	3
"Smith,Dwain:ART-3386-001-DIRECTING WORKSHOP"	Mean	3	3	3	3	3.5	3
	N	2	2	2	2	2	2
"Smith,Jason:MATH-1308-001-ELEM STATISTICAL ANALYSIS"	Mean	4.5833	4.75	4.6667	4.8333	4.75	4.6667
	N	12	12	12	12	12	12
"Smith,Kristy:CRCJ-3338-001-JUV JUST SYST"	Mean	4.7778	4.4444	4.5556	4.5556	4.5882	4.5
	N	18	18	18	18	17	18
"Snow,Diane:NURS-5303-001-PSYCHIATRIC MANAGEMENT"	Mean	4.2	3.9	4.3	4.1	4.1	4.1
	N	10	10	10	10	10	10
"Sparks,David:EDUC-5305-005-CUR DESGN IMPLMNTATION & EVAL"	Mean	4.2308	4.1538	3.7692	3.9231	3.8462	3.9231
	N	13	13	13	13	13	13
"Sparks,David:EDUC-5394-105-UNDERSTANDING CLASSROOM RSRCH"	Mean	3.75	3.9167	4.0833	3.9167	3.75	3.6667
	N	12	12	12	12	12	12
"Speer,Kathleen:NURS-5301-400-RESEARCH IN NURSING"	Mean	4.125	3.4444	3.7778	4	4.125	3.5
	N	8	9	9	9	8	8
"Speer,Kathleen:NURS-5301-401-RESEARCH IN NURSING"	Mean	3.6667	3.8333	4	3.6	3.3333	3.5
	N	6	6	6	5	6	6
"Stan,Ciprian:MANA-5336-001-STRATEGIC MANAGEMENT"	Mean	4.6667	4.5	4.3333	4.3333	4.1667	4.1667
	N	6	6	6	6	6	6
"Steffenson,Matthew:BIOL-2458-004-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Steffenson,Matthew:BIOL-2458-005-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	4.8	4.6	4.6	4.8	4.4	4.6
	N	5	5	5	5	5	5
"Stillsmoking,Kristina:NURS-5360-001-SIMULATION APPS IN NURSING ED"	Mean	4	4.2	4.5	3.4	4.2	4.4
	N	5	5	4	5	5	5
"Story,Dale:POLS-3310-001-RESEARCH & POLITICAL ANALYSIS & POLS-5310-001-EMPIRICAL THEORY & RESEARCH (2135-11W-0056)"	Mean	3.2	2.6	3.8	4	4.2	2.8
	N	5	5	5	5	5	5
"Stricklin,Brittany:BIOL-2457-008-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	3.8	4	3.6	4	3.8	3.6
	N	5	5	5	5	5	5
"Stringer,Jarrod:ENGL-2309-001-WORLD LIT"	Mean	4.125	4.75	4.75	4.625	4.5	4.25
	N	8	8	8	8	8	8
"Su,Chunke:COMM-3300-001-COMMUNICATION TECHNOLOGY"	Mean	4.7	4.7	4.5	4.8	4.4444	4.8
	N	10	10	10	10	9	10
"Su,Chunke:CTEC-2350-001-INTRO COMMUNICATION TECHNOLOGY"	Mean	4	5	4	5	3.6667	5
	N	3	3	3	3	3	2
"Subedi,Bishnu:CHEM-1441-102-GENERAL CHEMISTRY I"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Tamez,Jose:SPAN-4334-001-CULT & ECON IN HISPANIC WORLD"	Mean	4.5	4.5	4.5	3.5	4.5	4.5
	N	2	2	2	2	2	2
"Tang,Jie:MATH-1302-101-COLLEGE ALGEBRA"	Mean	4	3	3	4.5	3	4
	N	2	3	3	2	3	2
"Tang,Liping:BE-5365-005 & BIOL-4365-005-TISSUE ENGINEERING LAB (2135-11W-0001)"	Mean	4.25	4	4.25	4.25	4.25	4.5
	N	4	4	4	4	4	4
"Tanizaki,Seiichiro:CHEM-1451-001-CHEMISTRY FOR HEALTH SCIENCES"	Mean	4.9	4.5556	4.7	4.9	4.5556	4.7
	N	10	9	10	10	9	10
"Terrasi,Salvatore:ART-2304-001-DIGITAL DESIGN"	Mean	4.6364	4.7273	4.7273	4.7273	4.2	4.8182
	N	11	11	11	11	10	11
"Tesdal,Luke:ENGL-1302-001-RHETORIC AND COMPOSITION II"	Mean	4.1111	3.4444	3.8889	4.1111	4	3.4444
	N	9	9	9	9	9	9
"Thai,Trang:FINA-3315-001-INVESTMENTS"	Mean	4	3.5	5	4.5	5	3
	N	2	2	2	2	2	2
"Theriot,Shirley:EDAD-6390-014-SEL TOP K-16 ED LDRSHP RES"	Mean	4.25	4.75	5	5	5	4.75
	N	4	4	4	4	4	4
"Thompson,Annette:ACCT-3309-001-ACCOUNTING FOR MANAGERS"	Mean	4.25	3.25	3.75	4.5	4	3.25
	N	4	4	4	4	4	4
"Thurman,Stephanee:NURS-5311-400-NURSING MGMT IN HEALTH CARE"	Mean	4.2941	4.4118	4.625	4.5882	4.4286	4.3125
	N	17	17	16	17	14	16
"Tice,Kathleen:LIST-4374-001-EC-6 LIT LRNG: LITRATUR & LANG"	Mean	4.4	4.8	4.8	4.2	4.8	4.8
	N	5	5	5	5	5	5
"Tice,Kathleen:LIST-5353-001-LIT FOR CHILDRN & YOUNG ADULTS"	Mean	5	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Tiernan,Janice:CSE-1325-001-OBJECT-ORIENTED PROGRAMMING"	Mean	3.5	4	4.5	4	4	3.5
	N	2	2	2	2	2	2
"Tjuatja,Saibun:EE-3330-001-PROBABILITY AND RANDOM SIGNALS"	Mean	3.875	4	4.125	4.625	4.1429	3.875
	N	8	8	8	8	7	8
"Tjuatja,Saibun:EE-4330-001-FNDMTLS TELECOMMUNICATION SYS"	Mean	4.5	4	4.5	4.5	4	4.5
	N	2	2	2	2	2	2
"Tobolowsky,Barbara:EDAD-6318-001-ADVANCED QUALITATIVE METHODS"	Mean	4.75	4.75	4.875	4.75	4.5	4.875
	N	8	8	8	8	8	8
"Tobolowsky,Barbara:EDAD-6335-001-K-16 ACCOUNTABILITY POLICY RES"	Mean	5	5	5	5	5	5
	N	6	6	6	6	6	6
"Tong,Albert:MAE-3310-001-THERMODYNAMICS I"	Mean	3.5	3	4	3	3	3
	N	2	2	2	2	2	2
"Tong,Albert:MAE-3360-001-ENGINEERING ANALYSIS"	Mean	4.75	5	4.5	5	4.5	5
	N	4	4	4	4	4	4
"Topham,Megan:REAE-5392-060-TOPICS IN REAL ESTATE"	Mean	4.3333	3	3.6667	3.5	3.5	3.6667
	N	3	3	3	2	2	3
"Trache,Maria:EDAD-6304-001-K-16 QUANT RES DSGN & METHODS"	Mean	4.375	4.375	4.5	4.75	4.5	4.75
	N	8	8	8	8	8	8
"Tramm,Kenneth:CE-5329-001-ENVR RISK BASED CRCTV ACTION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Trevino,Margarita:NURS-4465-501-RN-BSN VULNERABLE POPULATIONS"	Mean	4.0625	4.25	4.2667	4.0667	4.1667	4.1333
	N	16	16	15	15	12	15
"Trowbridge,Cynthia:KINE-5220-001-PREVENTATIVE AND ACUTE CARE TECHNIQUES IN ATHLETIC TRAINING"	Mean	4.6667	4.6667	4.6667	4.3333	4.6667	4.3333
	N	3	3	3	3	3	3
"Trowbridge,Cynthia:KINE-5420-001-CONCEPTS IN ATHLETIC TRAINING"	Mean	4.6667	4.3333	4.5	4.3333	4.5	4.3333
	N	6	6	6	6	6	6
"Tucker,Gene:HIST-1312-002-HISTORY OF U.S."	Mean	4.25	4	3.25	4.25	4.3333	3.75
	N	4	4	4	4	3	4
"Turner,Jere:BLAW-3311-001-LAW I"	Mean	5	4.9231	4.6923	5	4.8333	4.9231
	N	13	13	13	13	12	13
"Turner,Jere:BLAW-3312-001-LAW II"	Mean	5	5	5	5	4.4286	5
	N	14	14	14	14	14	14
"Uddin,Mohammad:FINA-4318-001-PORTFOLIO MGMT & SEC ANALYSIS"	Mean	2	1	4	4	4	2
	N	1	1	1	1	1	1
"Uechi,Katsuhiro:MATH-5343-001-CPTS/TECH PROB & STATISTICS"	Mean	3.8	2	2.2	3	4.4	2.4
	N	5	5	5	5	5	5
"Unite,Richard:SOCI-2312-001-CONTEMPORARY SOCIAL ISSUES"	Mean	2.5	1.5	4	2	4	3
	N	2	2	2	2	1	2
"Unlu,Mehmet:MATH-1426-101-CALCULUS I"	Mean	4.5	4.3333	4	4.5	4	4.1667
	N	6	6	6	6	6	6
"Urban,Regina:NURS-3366-072-PATHOPHYSIOLOGIC PROCESSES"	Mean	4.4286	4.2857	4.1429	4.4286	4.6	4.2857
	N	7	7	7	7	5	7
"Urban,Regina:NURS-UL-3366-600-PATHOPHYSIOLOGIC PROCESSES"	Mean	4.8333	4.6667	4.75	4.8333	4.3	4.7273
	N	12	12	12	12	10	11
"Valdez Rocha,Omar:FREN-1442-001-BEGINNING FRENCH II"	Mean	4.6667	4.8889	4.8889	4.7778	4.625	4.7778
	N	9	9	9	9	8	9
"Van Dyke,Pamela:MANA-5338-001-CAREERS & MANAGING CHG ENVIRMN"	Mean	4	4.75	4.5	3.75	3.5	4.25
	N	4	4	4	4	2	4
"Van Noort,Kimberly:MODL-5301-001-GRAD READINGS"	Mean	5	5	4.8571	5	5	5
	N	7	7	7	7	6	7
"Veerabathina,Nilakshi:ASTR-1445-001-INTRODUCTORY ASTRONOMY I"	Mean	4.1818	4.3636	4.4545	4.6364	4.2222	4.4
	N	11	11	11	11	9	10
"Veerabathina,Nilakshi:SCIE-3304-001-ASTRONOMY"	Mean	3.6207	3.8276	4.0357	3.9643	4.0769	3.3929
	N	29	29	28	28	26	28
"Veerapen,Padmini:MATH-1303-001-TRIGONOMETRY"	Mean	3.8	2.8	3.2	4	4	3
	N	5	5	5	5	5	5
"Veit,Dennis:MANA-3318-001-MANA ORG BEHAV"	Mean	4.2	3.75	4	4.4	3.75	4.2
	N	5	4	5	5	4	5
"Veit,Dennis:MANA-4325-001-LEADERSHIP IN ORGANIZATIONS"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Velez,Lea:SOCW-3303-001-SW POL & SERV"	Mean	4.6667	5	5	5	5	5
	N	3	3	3	3	3	3
"Ventura,Wilber:MATH-2425-101-CALCULUS II"	Mean	4.1111	4.2222	4.1111	4.2222	4.125	4.1111
	N	9	9	9	9	8	9
"Vespoli,Kalen:KINE-3315-002-PHYSIOLOGY OF EXERCISE"	Mean	4.5	5	4.5	5	4	5
	N	2	2	2	2	2	2
"Vespoli,Kalen:KINE-3315-003-PHYSIOLOGY OF EXERCISE"	Mean	5	5	3	5	5	5
	N	1	1	1	1	1	1
"Visser,Sarah:ENGL-2338-001-TECHNICAL WRITING"	Mean	4.2857	4.1429	4.2857	4.2857	4.2857	4.1429
	N	7	7	7	7	7	7
"Wagener,Natalie:SPAN-1441-001-BEGINNING SPANISH I"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	3.6667
	N	3	3	3	3	3	3
"Wagener,Natalie:SPAN-1442-002-BEGINNING SPANISH II"	Mean	4.7143	4.5714	4.7143	4.7143	4	4.4286
	N	7	7	7	7	6	7
"Wagener,Natalie:SPAN-2313-001-INTERMEDIATE SPANISH I"	Mean	4.4	4	4.8	4.8	4.25	4.2
	N	5	5	5	5	4	5
"Wanaguru,Prabath:PHYS-1441-002-GENERAL COLLEGE PHYSICS I"	Mean	4.7857	4.8571	4.6429	4.8571	4.6923	4.8571
	N	14	14	14	14	13	14
"Wang,Bo:MAE-4301-002-SPEC TOPICS MECH & AERO ENGR"	Mean	5	4	5	5	4	5
	N	2	2	2	2	2	2
"Wang,Evelyn:CHEM-1441-102-GENERAL CHEMISTRY I"	Mean	4.5	4.5	4	4.75	3.75	5
	N	4	4	3	4	4	4
"Ward,Susan:NURS-5327-001-ANALYSIS OF THEORIES FOR NURS"	Mean	4.6667	4.3333	5	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Warren,James:ENGL-4370-001-RHETORIC-COMPOSITION/TEACHERS"	Mean	5	5	5	5	4.875	5
	N	17	17	17	17	16	17
"Warren,Martha:ENGL-2309-700-WORLD LIT"	Mean	4.4783	4.3043	4.3182	4.5	4.3636	4.3478
	N	23	23	22	22	22	23
"Watkins,Chad:BIOL-2458-010-HUMAN ANATOMY & PHYSIOLOGY II"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Watson,Larry:SOCW-6305-002-INTEGRATIVE SEMINAR"	Mean	4.5385	4	4.4167	4.25	4.6154	4.5385
	N	13	12	12	12	13	13
"Watson,Larry:SOCW-6314-001-ADV ADMINISTRATIVE PRACTICE"	Mean	4.3846	4.5385	4.4615	4.6923	4.6923	4.6923
	N	13	13	13	13	13	13
"Webb,Sydney:ART-4345-001-ADVANCED PRINTMAKING"	Mean	3.75	4.25	4	4.75	4.25	3.75
	N	4	4	4	4	4	4
"Weems,Bob:CSE-2320-001-ALGORITHMS & DATA STRUCTURES"	Mean	3.6667	3.1667	3.3333	4.3333	4.1667	3
	N	6	6	6	6	6	6
"Weems,Bob:CSE-3302-001 & CSE-5307-001-PROGRAMMING LANGUAGE CONCEPTS"	Mean	3.3077	2.4615	3.0833	3.6923	3.9231	2.5385
	N	13	13	12	13	13	13
"Weems,Bob:CSE-5311-033-DSGN & ANLY ALGORITHMS"	Mean	4.5	3	3	3	4	3.5
	N	2	2	2	2	2	2
"Wehr,Roger:ECON-2305-001-PRIN MACRO ECO"	Mean	4.8	4.7	4.7	4.7	4.8	4.8
	N	10	10	10	10	10	10
"Wehr,Roger:ECON-3310-001-MICROECONOMICS"	Mean	4.4444	4.5556	4.8889	4.7778	4.625	4.4444
	N	9	9	9	9	8	9
"Wehr,Roger:ECON-3328-001-PRINCIPLES OF TRANSPORTATION"	Mean	4.85	4.95	4.9	4.9	4.65	4.95
	N	20	20	20	20	20	20
"Weiss,Alexander:PHYS-2311-001-MATH METHODS OF PHYSICS"	Mean	3	3	3.3333	2.3333	3.3333	2.6667
	N	3	3	3	3	3	3
"Welch,James:INTS-2301-001-INTERDISCIPLINARY PERSPECTIVES"	Mean	4.6667	4.6667	4.6667	4.3333	4.3333	4.6667
	N	3	3	3	3	3	3
"West,Michael:ECON-5333-050-ECONOMICS OF HEALTH"	Mean	4.375	4.125	4	4	4.375	4.125
	N	8	8	8	8	8	8
"Westmoreland,Sandra:BIOL-3309-001-N-M SEL TOPICS"	Mean	4.0909	4	3.8182	3.6	4.1111	4
	N	11	11	11	10	9	11
"Westmoreland,Sandra:BIOL-3309-500-N-M SEL TOPICS"	Mean	4.5909	4.1364	4.1905	4.0476	4.2273	4.1818
	N	22	22	21	21	22	22
"Westmoreland,Sandra:BIOL-3309-700-N-M SEL TOPICS"	Mean	4.4444	4.3333	4.1111	4.375	4.4444	4.4444
	N	9	9	9	8	9	9
"Wey,Michael:CHEM-1442-103-GENERAL CHEMISTRY II"	Mean	4.6667	4.6667	4.6667	5	5	4.6667
	N	3	3	3	3	3	3
"White,Andrew:PHYS-1443-001-GENERAL TECHNICAL PHYSICS I"	Mean	4.2857	4.4286	4.1429	4.8571	4.7143	4.2857
	N	7	7	7	7	7	7
"Whiteside,Mary:BSTAT-3321-001-BUSINESS STATISTICS I"	Mean	4.375	4	4.1429	4.5	4.2857	4.125
	N	8	8	7	8	7	8
"Whitstone,Brittany:ENGL-1301-001-RHETORIC AND COMPOSITION I"	Mean	4.4167	3.5833	3.8182	4.0833	3.9	3.6667
	N	12	12	11	12	10	12
"Whittier,Mindia:PREL-3355-001-PUBLIC RELATIONS CASE STUDY"	Mean	4.3333	4.1667	4.5	4.8333	4.1667	4.5
	N	6	6	6	6	6	6
"Wickham,John:GEOL-3387-001-FIELD GEOLOGY I"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Wickham,John:GEOL-3387-002-FIELD GEOLOGY I"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Wickham,John:GEOL-3388-001-FIELD GEOLOGY II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Wickham,John:GEOL-3388-002-FIELD GEOLOGY II"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Wigley,Shelley:COMM-5392-001-SEMINAR"	Mean	4.8889	4.5556	4.7778	4.7778	4.6667	4.7778
	N	9	9	9	9	9	9
"Williford,Kenneth:PHIL-4388-001 & PHIL-5392-001-TOPICS HIST PHILOSOPHY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Willson,Nancy:NURS-3335-500-RN-BSN HEALTH PROMOTION"	Mean	4.4444	4.5926	4.6296	4.5556	4.45	4.2692
	N	27	27	27	27	20	26
"Willson,Nancy:NURS-3335-501-RN-BSN HEALTH PROMOTION"	Mean	4.0625	4.1515	4.2812	4.1562	3.8438	4.0909
	N	32	33	32	32	32	33
"Willson,Nancy:NURS-4223-001-PROFESSIONAL NURSING TRENDS"	Mean	4.5	4.5	5	4.5	4	4.5
	N	2	2	1	2	2	2
"Wilson,Judy:KINE-3315-001-PHYSIOLOGY OF EXERCISE"	Mean	4.3333	4.3333	4	4.6667	4.6667	5
	N	3	3	3	3	3	3
"Wilson,Kristine:ENGL-2309-002-WORLD LIT"	Mean	4	3.5	3.3333	4	3.2	2.8333
	N	6	6	6	5	5	6
"Wilson,Linda:BCOM-3360-004-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.6538	4.6154	4.6538	4.8846	4.64	4.72
	N	26	26	26	26	25	25
"Wimberly,Clarence:MAE-3309-001-THERMAL ENGINEERING"	Mean	4	2	2	4.5	4	1.5
	N	2	2	2	2	1	2
"Winguth,Cornelia:SCIE-3303-001-GEOL- METEOR- & OCEANOGRAPHY"	Mean	4	3.4545	3.6364	4.0909	3.9091	4
	N	11	11	11	11	11	11
"Wollman,Michael:REAE-5304-060-SUSTAINABLE PROJECTS-BUILT ENV"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Womble,Matthew:ENGL-1302-002-RHETORIC AND COMPOSITION II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
