Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
	N	4	4	4	4	3	4
"Cichock,Mark:POLS-2312-001-STATE & LOCAL GOVT"	Mean	4	4	5	4	4	5
	N	1	1	1	1	1	1
"Cichock,Mark:POLS-4336-001-CONT US FOR POL"	Mean	3.6	3.8	3.8	4	4.2	3.8
	N	5	5	5	5	5	5
"Cipher,Daisha:NURS-6390-001-TOPICS IN NURSING"	Mean	4.6	4.6	4.8	5	4.8	4.8
	N	5	5	5	4	5	5
"Clark,Andrew:BCMN-3340-001-ELECTRONIC NEWS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Clark,Andrew:COMM-3310-001-COMMUNICATION LAW & ETHICS"	Mean	4.7	4.2	4.1111	4.9	4.6667	4.6
	N	10	10	9	10	9	10
"Clark,Cynthia:HIST-2301-001-HISTORY OF CIVILIZATION"	Mean	4.3333	4.1667	4.3333	4.3333	3.6667	4.3333
	N	6	6	6	6	6	6
"Clark,Stephanie:ART-2304-001-DIGITAL DESIGN"	Mean	3.3333	3.2	3.1667	3.8333	3	3
	N	6	5	6	6	6	6
"Cleary,Donna:NURS-3561-600-NURSING OF ADULTS"	Mean	3.64	3.2692	3.68	3.6923	3.84	3.3846
	N	25	26	25	26	25	26
